Id_Periodo,Anio,AnioMes_Letras,Mes,Mes_Letras,Semestre,Trimestre,Bimestre
202001,2020,2020 - ENERO,01,ENERO,1° SEMESTRE,1° TRIMESTRE,1° BIMESTRE
202002,2020,2020 - FEBRERO,02,FEBRERO,1° SEMESTRE,1° TRIMESTRE,1° BIMESTRE
202003,2020,2020 - MARZO,03,MARZO,1° SEMESTRE,1° TRIMESTRE,2° BIMESTRE
202004,2020,2020 - ABRIL,04,ABRIL,1° SEMESTRE,2° TRIMESTRE,2° BIMESTRE
202005,2020,2020 - MAYO,05,MAYO,1° SEMESTRE,2° TRIMESTRE,3° BIMESTRE
202006,2020,2020 - JUNIO,06,JUNIO,1° SEMESTRE,2° TRIMESTRE,3° BIMESTRE
202007,2020,2020 - JULIO,07,JULIO,2° SEMESTRE,3° TRIMESTRE,4° BIMESTRE
202008,2020,2020 - AGOSTO,08,AGOSTO,2° SEMESTRE,3° TRIMESTRE,4° BIMESTRE
202009,2020,2020 - SEPTIEMBRE,09,SEPTIEMBRE,2° SEMESTRE,3° TRIMESTRE,5° BIMESTRE
202010,2020,2020 - OCTUBRE,10,OCTUBRE,2° SEMESTRE,4° TRIMESTRE,5° BIMESTRE
202011,2020,2020 - NOVIEMBRE,11,NOVIEMBRE,2° SEMESTRE,4° TRIMESTRE,6° BIMESTRE
202012,2020,2020 - DICIEMBRE,12,DICIEMBRE,2° SEMESTRE,4° TRIMESTRE,6° BIMESTRE
